标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
中国地质大学期刊社,高校/科研院所,高校强特征:大学,2,1,0,,,
中国地质大学煤层气国家工程中心,高校/科研院所,高校强特征:大学,3,1,0,,,
中国地质大学研究生部,高校/科研院所,高校强特征:大学,1,1,0,,,
中国地质大学研究生院,高校/科研院所,高校强特征:大学,4,1,0,,,
中国地质大学科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国地质科学院,高校/科研院所,高校强特征:学院,142,3,0,,,
中国地质科学院矿产资源研究所,高校/科研院所,高校强特征:学院,4,1,0,,,
中国地质调查局发展中心,其他,未命中规则,1,1,0,,,
中国地质调查局发展研究中心,高校/科研院所,高校科研关键词:研究中心,1,1,0,,,
中国地质调查局成都地质矿产研究所,高校/科研院所,高校科研关键词:研究所,3,1,0,,,
中国地质调查局成都地质调查中心,其他,未命中规则,13,1,0,,,
中国地质调查局武汉地质矿产研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国地质调查局武汉地质调查中心,其他,未命中规则,2,1,0,,,
中国地质调查局水文地质环境地质调查中心,其他,未命中规则,1,1,0,,,
中国地质调查局沈阳地质调查中心,其他,未命中规则,2,1,0,,,
中国地质调查局油气资源调查中心,其他,未命中规则,15,1,0,,,
中国地质调查局海洋石油天然气地质研究中心,高校/科研院所,高校科研关键词:研究中心,1,1,0,,,
中国地质调查局西安地质调查中心,其他,未命中规则,11,1,0,,,
中国地质调查局青岛海洋地质研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国地震局 地球物理研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国地震局地壳应力研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国地震局地球物理勘探中心,其他,未命中规则,2,1,0,,,
中国地震局地球物理研究所,高校/科研院所,高校科研关键词:研究所,3,1,0,,,
中国地震局地质研究所,高校/科研院所,高校科研关键词:研究所,3,1,0,,,
中国地震局地震预测研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国地震局第二监测中心,其他,未命中规则,1,1,0,,,
中国大唐集团科,企业研发中心,企业关键词:集团,1,1,0,,,
中国大学,高校/科研院所,高校强特征:大学,1,1,0,,,
中国天辰工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国安全生产科学研究院,高校/科研院所,高校科研关键词:研究院,10,2,0,,,
中国寰球工程公司,企业研发中心,企业关键词:公司,6,1,0,,,
中国寰球工程公司兰州公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国寰球工程公司新疆分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国寰球工程公司炼油事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中国寰球工程公司辽宁分公司,企业研发中心,企业关键词:公司,24,1,0,,,
中国工程物理研究院,高校/科研院所,高校科研关键词:研究院,42,3,0,,,
中国日用化学工业研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国昆仑工程公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国昆仑工程公司辽宁分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国有色桂林矿产地质研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国林业大学,高校/科研院所,高校强特征:大学,1,1,0,,,
中国林业科学研究院,高校/科研院所,高校科研关键词:研究院,30,3,0,,,
中国核电工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国核电工程有限公司总图地质所,企业研发中心,企业关键词:公司,1,1,0,,,
中国民航大学,高校/科研院所,高校强特征:大学,1,1,0,,,
中国水利水电科学研究院,高校/科研院所,高校科研关键词:研究院,11,3,0,,,
中国水电工程顾问集团公司西北勘测设计研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国水电顾问集团成都勘测设计研究院,企业研发中心,企业关键词:集团,1,1,0,,,
中国水电顾问集团西北勘测设计研究院,企业研发中心,企业关键词:集团,2,1,0,,,
中国海油东南亚公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油伊位克公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油伊拉克公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国海油伊拉克有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国海油克奥斯勒工程技术学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国海油南海东部公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油南海西部研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国海油天津分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海油宁波大榭石化有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油惠州炼油分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油新能源投资有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油有限公司天津分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油深圳分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油湛江分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海油能源发展监督监理分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油能源发展股份有限公司北京分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油能源发展股份有限公司工程技术分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油能源发展股份有限公司采油技术服务分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海油能源发展股份有限公司钻采工程研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋大学,高校/科研院所,高校强特征:大学,150,3,0,,,
中国海洋大学地球科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国海洋大学海底科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国海洋大学海洋地球科,高校/科研院所,高校强特征:大学,16,1,0,,,
中国海洋总公司工程技术部,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋油田服务股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋油田服务股份有限公司油田生产事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油上海公司,企业研发中心,企业关键词:公司,2,2,0,,,
中国海洋石油上海分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油中国公司,企业研发中心,企业关键词:公司,8,3,0,,,
中国海洋石油中国公司有限公司,企业研发中心,企业关键词:公司,31,3,0,,,
中国海洋石油中国北京研究中心,高校/科研院所,高校科研关键词:研究中心,1,1,0,,,
中国海洋石油中国天津公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油中国有限公司北京研究中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油中海油气开发利用公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油乌干达有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油南海东部石油管理局中海油深海开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油国际有限公司,企业研发中心,企业关键词:公司,8,1,0,,,
中国海洋石油国际有限公司勘探部,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油国际有限公司钻完井部,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油天津分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油工程股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油工程股份有限公司设计公司工艺部,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司,企业研发中心,企业关键词:公司,35,1,0,,,
中国海洋石油总公司中捷石化化工有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司中海石油炼化有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司中海石油研究中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司咨询中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司天津分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海洋石油总公司天津海洋石油工程股份有限公司建造公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司工程建设部综合处,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司工程技术部,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司深圳分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海洋石油总公司深水工程重点实验室,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司深水钻井船工程项目组,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司湛江分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海洋石油总公司炼化与销售部,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油总公司研究中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油总公司研究总院,企业研发中心,企业关键词:公司,8,1,0,,,
中国海洋石油总公司西部分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油有限公司,企业研发机构,企业关键词:公司,1314,3,1,98,0.096303,特色细分型
中国海洋石油有限公司上海分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油有限公司勘探部,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油有限公司开发生产部,企业研发中心,企业关键词:公司,7,1,0,,,
中国海洋石油有限公司深圳分公司,企业研发中心,企业关键词:公司,6,1,0,,,
中国海洋石油有限公司湛江分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海洋石油服务股份有限公司湛江分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油海南天然气公司有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油海南能源公司有限公司,企业研发中心,企业关键词:公司,3,2,0,,,
中国海洋石油深圳分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国海洋石油湛江分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国海洋石油监督监理技术公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油研究总院海外评价中心,其他,未命中规则,1,1,0,,,
中国海洋石油能源发展油建渤海工程分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油能源发展采油技术服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油能源发展钻采工程研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国海洋石油能源技术服务公司有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油能源技术服务工程技术服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油能源技术服务有限公司,企业研发中心,企业关键词:公司,15,2,0,,,
中国海洋石油能源技术服务石油生产服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油采油技术服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国海洋石油集团有限公司,企业研发中心,企业关键词:公司,369,3,0,,,
中国海洋石油高效开发国家重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
中国港湾工程有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国煤层气有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国煤炭地质总局地球物理勘探研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国煤炭地质总局航测遥感局遥感应用研究院,高校/科研院所,高校科研关键词:研究院,2,1,0,,,
中国煤炭科工集团西安研究院有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国特种设备检测研究院,高校/科研院所,高校科研关键词:研究院,5,1,0,,,
中国环境科学研究院,高校/科研院所,高校科研关键词:研究院,38,3,0,,,
中国电力建设集团昆明勘测设计研究院,企业研发中心,企业关键词:集团,1,1,0,,,
中国电力科学研究院,高校/科研院所,高校科研关键词:研究院,3,1,0,,,
中国电建集团西北勘测设计研究院,企业研发中心,企业关键词:集团,1,1,0,,,
中国电波传播研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
中国石化 江苏油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化 石油勘探开发研究院,企业研发中心,企业关键词:石化,4,1,0,,,
中国石化上海工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海石油化工研究院,企业研发中心,企业关键词:石化,13,1,0,,,
中国石化上海石油化工股份公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海石油化工股份公司物资供应公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海石油化工股份有限公司,企业研发中心,企业关键词:公司,10,1,0,,,
中国石化上海石油化工股份有限公司化工部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海石油化工股份有限公司炼油事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海石油化工股份有限公司炼油部,企业研发中心,企业关键词:公司,5,1,0,,,
中国石化上海石油化工股份有限公司烯烃部,企业研发中心,企业关键词:公司,3,1,0,,,
中国石化上海石油化工股份有限公司芳烃部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石化上海高桥石油化工公司,企业研发中心,企业关键词:公司,1,1,0,,,
